dataset	sample	mode	ref_label	status	elapsed_sec	error	run_dir
ZNF8	clone_3	A	wt	ok	0.28	""	tmp/test_results/r/test_run_win/ZNF8/clone_3/mode_A/wt
ZNF8	clone_3	B	self	ok	2.28	""	tmp/test_results/r/test_run_win/ZNF8/clone_3/mode_B/self
ZNF8	clone_3	B	wt	ok	1.9	""	tmp/test_results/r/test_run_win/ZNF8/clone_3/mode_B/wt
ZNF8	clone_3	C	self	ok	0.04	""	tmp/test_results/r/test_run_win/ZNF8/clone_3/mode_C/self
ZNF8	clone_3	C	wt	ok	0.02	""	tmp/test_results/r/test_run_win/ZNF8/clone_3/mode_C/wt
ZNF8	clone_4	A	self	ok	0.2	""	tmp/test_results/r/test_run_win/ZNF8/clone_4/mode_A/self
ZNF8	clone_4	A	wt	ok	0.23	""	tmp/test_results/r/test_run_win/ZNF8/clone_4/mode_A/wt
ZNF8	clone_4	B	self	ok	1.15	""	tmp/test_results/r/test_run_win/ZNF8/clone_4/mode_B/self
ZNF8	clone_4	B	wt	ok	1.36	""	tmp/test_results/r/test_run_win/ZNF8/clone_4/mode_B/wt
ZNF8	clone_4	C	self	ok	0.06	""	tmp/test_results/r/test_run_win/ZNF8/clone_4/mode_C/self
ZNF8	clone_4	C	wt	ok	0.03	""	tmp/test_results/r/test_run_win/ZNF8/clone_4/mode_C/wt
ZNF8	clone_5	A	self	ok	0.26	""	tmp/test_results/r/test_run_win/ZNF8/clone_5/mode_A/self
ZNF8	clone_5	A	wt	ok	0.29	""	tmp/test_results/r/test_run_win/ZNF8/clone_5/mode_A/wt
ZNF8	clone_5	B	self	ok	1.96	""	tmp/test_results/r/test_run_win/ZNF8/clone_5/mode_B/self
ZNF8	clone_5	B	wt	ok	1.72	""	tmp/test_results/r/test_run_win/ZNF8/clone_5/mode_B/wt
ZNF8	clone_5	C	self	ok	0.05	""	tmp/test_results/r/test_run_win/ZNF8/clone_5/mode_C/self
ZNF8	clone_5	C	wt	ok	0.03	""	tmp/test_results/r/test_run_win/ZNF8/clone_5/mode_C/wt
ZNF8	clone_6	A	self	ok	0.2	""	tmp/test_results/r/test_run_win/ZNF8/clone_6/mode_A/self
ZNF8	clone_6	A	wt	ok	0.22	""	tmp/test_results/r/test_run_win/ZNF8/clone_6/mode_A/wt
ZNF8	clone_6	B	self	ok	0.8	""	tmp/test_results/r/test_run_win/ZNF8/clone_6/mode_B/self
ZNF8	clone_6	B	wt	ok	0.78	""	tmp/test_results/r/test_run_win/ZNF8/clone_6/mode_B/wt
ZNF8	clone_6	C	self	ok	0.03	""	tmp/test_results/r/test_run_win/ZNF8/clone_6/mode_C/self
ZNF8	clone_6	C	wt	ok	0.02	""	tmp/test_results/r/test_run_win/ZNF8/clone_6/mode_C/wt
ZNF8	clone_7	A	self	ok	0.3	""	tmp/test_results/r/test_run_win/ZNF8/clone_7/mode_A/self
ZNF8	clone_7	A	wt	ok	0.3	""	tmp/test_results/r/test_run_win/ZNF8/clone_7/mode_A/wt
ZNF8	clone_7	B	self	ok	2.27	""	tmp/test_results/r/test_run_win/ZNF8/clone_7/mode_B/self
ZNF8	clone_7	B	wt	ok	2.03	""	tmp/test_results/r/test_run_win/ZNF8/clone_7/mode_B/wt
ZNF8	clone_7	C	self	ok	0.05	""	tmp/test_results/r/test_run_win/ZNF8/clone_7/mode_C/self
ZNF8	clone_7	C	wt	ok	0.03	""	tmp/test_results/r/test_run_win/ZNF8/clone_7/mode_C/wt
ZNF8	clone_9	A	self	ok	0.26	""	tmp/test_results/r/test_run_win/ZNF8/clone_9/mode_A/self
ZNF8	clone_9	A	wt	ok	0.31	""	tmp/test_results/r/test_run_win/ZNF8/clone_9/mode_A/wt
